@title,韓国語
@language,ko
@scale,auto
@appli,133 - Do not change
@version,1.72 - Do not change
@author,Your Name
#00000,무서운 적이 있을지도 모릅니다<br>단단히 준비한 뒤 파견합시다
#00001,미사용
#00002,길이 없어…
#00003,길 잃었다…
#00004,여긴 어디지…
#00005,피곤해
#00006,으쌰
#00007,안녕하세요!
#00008,잘 부탁해!
#00009,안녕하세요!
#00010,당했다
#00011,아이고
#00012,끄아~
#00013,아야야
#00014,이런!
#00015,더는 못해
#00016,못 버텨
#00017,정신 차려
#00018,괜찮아
#00019,에고고
#00020,맙소사
#00021,큰일이야!
#00022,정신 차려!
#00023,좋은 아침
#00024,잘 잤다
#00025,아직 졸려
#00026,흐아암~
#00027,음냐음냐
#00028,좋은 아침
#00029,졸려…
#00030,이제 자자
#00031,잘 자
#00032,내일 봐
#00033,이거다
#00034,이게 좋겠어
#00035,이거로 할까
#00036,이거지
#00037,이거 주세요
#00038,이거로 할게요
#00039,아자!
#00040,와~
#00041,좋았어
#00042,만족
#00043,내 거야
#00044,감동
#00045,대단한데
#00046,좋아
#00047,파이팅
#00048,한번 해볼까
#00049,맡겨만 줘
#00050,이얍!
#00051,완성
#00052,다 됐다
#00053,잘 됐네
#00054,아주 좋아
#00055,베자
#00056,풍작이야
#00057,좋을 때네
#00058,어영차
#00059,영차
#00060,어이차
#00061,으쌰
#00062,무거워
#00063,영차영차
#00064,문제없어
#00065,다 팔렸나
#00066,텅 비었네
#00067,살았다
#00068,고마워
#00069,하
#00070,삐질삐질
#00071,훗!
#00072,이겼다~
#00073,승리
#00074,한가해
#00075,누구 안 오나
#00076,날씨 좋다
#00077,나왔다~
#00078,뭔데
#00079,음…
#00080,으앗
#00081,어이쿠
#00082,앗!
#00083,어서오세요
#00084,감사합니다
#00085,또 오세요
#00086,아주 좋아
#00087,워~ 워~
#00088,옳지 옳지
#00089,으쌰 으쌰
#00090,어영차
#00091,깡깡
#00092,뒤적뒤적
#00093,바스락바스락
#00094,사용 중…
#00095,이야…
#00096,오오
#00097,음…
#00098,머엉…
#00099,어슬렁
#00100,뭐하지
#00101,♪
#00102,저기요~
#00103,계세요~
#00104,띵동
#00105,좋았어
#00106,도움이 됐나요
#00107,다음에 또 봐
#00108,또 만나
#00109,잘 자요
#00110,이, 이건…
#00111,잘 왔어
#00112,왕이야
#00113,에헴
#00114,헬로~
#00115,어서 와
#00116,빠~안
#00117,신경 쓰지 마
#00118,잘 부탁드려요!
#00119,그럼 시작합니다
#00120,어슬렁어슬렁
#00121,에잇!
#00122,이얍!
#00123,흠!
#00124,으랴!
#00125,하압!
#00126,촤아!
#00127,오호
#00128,흠흠
#00129,통통
#00130,뚝딱뚝딱
#00131,쿵쿵
#00132,퉁퉁
#00133,촥촥
#00134,땡땡
#00135,수리 중
#00136,수리하자
#00137,두근두근
#00138,긴장돼
#00139,이러쿵
#00140,저러쿵
#00141,재잘재잘
#00142,실패했어…
#00143,협력 토벌 이벤트 #1
#00144,"=MID(#00143,1,-1)&'2'"
#00145,"=MID(#00143,1,-1)&'3'"
#00146,"=MID(#00143,1,-1)&'4'"
#00147,"=MID(#00143,1,-1)&'5'"
#00148,"=MID(#00143,1,-1)&'6'"
#00149,"=MID(#00143,1,-1)&'7'"
#00150,"=MID(#00143,1,-1)&'8'"
#00151,"=MID(#00143,1,-1)&'9'"
#00152,"=MID(#00143,1,-1)&'10'"
#00153,"=MID(#00143,1,-1)&'11'"
#00154,"=MID(#00143,1,-1)&'12'"
#00155,"=MID(#00143,1,-1)&'13'"
#00156,"=MID(#00143,1,-1)&'14'"
#00157,"=MID(#00143,1,-1)&'15'"
#00158,"=MID(#00143,1,-1)&'16'"
#00159,"=MID(#00143,1,-1)&'17'"
#00160,"=MID(#00143,1,-1)&'18'"
#00161,"=MID(#00143,1,-1)&'19'"
#00162,"=MID(#00143,1,-1)&'20'"
#00163,"=MID(#00143,1,-1)&'21'"
#00164,"=MID(#00143,1,-1)&'22'"
#00165,"=MID(#00143,1,-1)&'23'"
#00166,"=MID(#00143,1,-1)&'24'"
#00167,"=MID(#00143,1,-1)&'25'"
#00168,"=MID(#00143,1,-1)&'26'"
#00169,"=MID(#00143,1,-1)&'27'"
#00170,"=MID(#00143,1,-1)&'28'"
#00171,"=MID(#00143,1,-1)&'29'"
#00172,"=MID(#00143,1,-1)&'30'"
#00173,"=MID(#00143,1,-1)&'31'"
#00174,"=MID(#00143,1,-1)&'32'"
#00175,"=MID(#00143,1,-1)&'33'"
#00176,"=MID(#00143,1,-1)&'34'"
#00177,"=MID(#00143,1,-1)&'35'"
#00178,"=MID(#00143,1,-1)&'36'"
#00179,"=MID(#00143,1,-1)&'37'"
#00180,"=MID(#00143,1,-1)&'38'"
#00181,"=MID(#00143,1,-1)&'39'"
#00182,"=MID(#00143,1,-1)&'40'"
#00183,"=MID(#00143,1,-1)&'41'"
#00184,"=MID(#00143,1,-1)&'42'"
#00185,"=MID(#00143,1,-1)&'43'"
#00186,"=MID(#00143,1,-1)&'44'"
#00187,"=MID(#00143,1,-1)&'45'"
#00188,"=MID(#00143,1,-1)&'46'"
#00189,"=MID(#00143,1,-1)&'47'"
#00190,"=MID(#00143,1,-1)&'48'"
#00191,"=MID(#00143,1,-1)&'49'"
#00192,"=MID(#00143,1,-1)&'50'"
#00193,"=MID(#00143,1,-1)&'51'"
#00194,"=MID(#00143,1,-1)&'52'"
#00195,"=MID(#00143,1,-1)&'53'"
#00196,"=MID(#00143,1,-1)&'54'"
#00197,"=MID(#00143,1,-1)&'55'"
#00198,"=MID(#00143,1,-1)&'56'"
#00199,"=MID(#00143,1,-1)&'57'"
#00200,"=MID(#00143,1,-1)&'58'"
#00201,"=MID(#00143,1,-1)&'59'"
#00202,"=MID(#00143,1,-1)&'60'"
#00203,"=MID(#00143,1,-1)&'61'"
#00204,"=MID(#00143,1,-1)&'62'"
#00205,"=MID(#00143,1,-1)&'63'"
#00206,"=MID(#00143,1,-1)&'64'"
#00207,"=MID(#00143,1,-1)&'65'"
#00208,"=MID(#00143,1,-1)&'66'"
#00209,"=MID(#00143,1,-1)&'67'"
#00210,"=MID(#00143,1,-1)&'68'"
#00211,"=MID(#00143,1,-1)&'69'"
#00212,"=MID(#00143,1,-1)&'70'"
#00213,"=MID(#00143,1,-1)&'71'"
#00214,"=MID(#00143,1,-1)&'72'"
#00215,"=MID(#00143,1,-1)&'73'"
#00216,"=MID(#00143,1,-1)&'74'"
#00217,"=MID(#00143,1,-1)&'75'"
#00218,"=MID(#00143,1,-1)&'76'"
#00219,"=MID(#00143,1,-1)&'77'"
#00220,"=MID(#00143,1,-1)&'78'"
#00221,"=MID(#00143,1,-1)&'79'"
#00222,"=MID(#00143,1,-1)&'80'"
#00223,"=MID(#00143,1,-1)&'81'"
#00224,"=MID(#00143,1,-1)&'82'"
#00225,"=MID(#00143,1,-1)&'83'"
#00226,"=MID(#00143,1,-1)&'84'"
#00227,"=MID(#00143,1,-1)&'85'"
#00228,"=MID(#00143,1,-1)&'86'"
#00229,"=MID(#00143,1,-1)&'87'"
#00230,"=MID(#00143,1,-1)&'88'"
#00231,"=MID(#00143,1,-1)&'89'"
#00232,"=MID(#00143,1,-1)&'90'"
#00233,"=MID(#00143,1,-1)&'91'"
#00234,"=MID(#00143,1,-1)&'92'"
#00235,"=MID(#00143,1,-1)&'93'"
#00236,"=MID(#00143,1,-1)&'94'"
#00237,"=MID(#00143,1,-1)&'95'"
#00238,"=MID(#00143,1,-1)&'96'"
#00239,"=MID(#00143,1,-1)&'97'"
#00240,"=MID(#00143,1,-1)&'98'"
#00241,"=MID(#00143,1,-1)&'99'"
#00242,"=MID(#00143,1,-1)&'100'"
#00243,주민
#00244,적
#00245,고양미
#00246,손님
#00247,펌프킨
#00248,침팬G
#00249,곰본좌
#00250,와이로군
#00251,아부파라 왕
#00252,농민
#00253,농민
#00254,전설의 대장간
#00255,위병
#00256,이웃 나라 국왕
#00257,이웃 나라 공주
#00258,농민
#00259,상공업자
#00260,왕국 조합 회장
#00261,이웃 나라 국왕
#00262,트로피 왕
#00263,카이로군
#00264,이사의 신
