@title,中文(繁體)
@language,zh-TW
@scale,auto
@appli,133 - Do not change
@version,1.72 - Do not change
@author,Your Name
#00000,<po=m>可能有可怕的敵人潛伏著，<br>做好準備進行派遣吧。
#00001,未使用
#00002,沒路可走……
#00003,迷路了……
#00004,這裡是哪裡……
#00005,累了
#00006,嘿咻
#00007,初次見面！
#00008,請多指教！
#00009,你好！
#00010,被打敗了
#00011,投降了
#00012,嗚哇——
#00013,唉唷
#00014,糟了
#00015,不行了
#00016,受不了
#00017,振作點
#00018,沒事
#00019,哎呀呀
#00020,哎呀——
#00021,不得了了！
#00022,保持清醒
#00023,早安
#00024,睡得真好
#00025,還沒睡飽
#00026,呼啊～
#00027,愛睏愛睏
#00028,真是個美好的早晨
#00029,想睡……
#00030,該上床睡覺啦
#00031,晚安
#00032,明天見
#00033,就選這個吧
#00034,這個好
#00035,這個嗎
#00036,就是這個
#00037,請給我這個
#00038,我要這個
#00039,成功了
#00040,耶——
#00041,太好了
#00042,滿足
#00043,得到了
#00044,感動
#00045,太厲害啦
#00046,感覺不錯
#00047,加油吧
#00048,等不及要發揮實力了
#00049,交給我吧
#00050,嘿呀
#00051,完成
#00052,做好了
#00053,做得真不錯
#00054,做得很成功
#00055,收割啦
#00056,豐收咯
#00057,時候到了咯
#00058,唷個咻
#00059,嗯咻
#00060,哎咻
#00061,嘿呀
#00062,好重
#00063,欸咻欸咻
#00064,沒有異常
#00065,賣完了啊
#00066,什麼都沒有
#00067,得救了
#00068,謝謝
#00069,呼
#00070,辛苦辛苦
#00071,厲害吧
#00072,贏啦——
#00073,勝利
#00074,好閒啊
#00075,有沒有人要來啊
#00076,天氣真好
#00077,出現了——
#00078,來者何人
#00079,唔唔唔
#00080,哎呀
#00081,哎唷
#00082,啊
#00083,歡迎光臨
#00084,謝謝光臨
#00085,謝謝光臨
#00086,乖乖
#00087,吁吁——
#00088,嘿嘿嘿
#00089,喲吼
#00090,哎呦喂
#00091,鏘鏘
#00092,偷偷摸摸
#00093,刮擦刮擦
#00094,正在使用……
#00095,這是
#00096,喔喔
#00097,唔——
#00098,發呆——
#00099,晃來晃去
#00100,要做什麼呢
#00102,店員
#00103,有人在嗎
#00104,叮
#00105,我努力過了
#00106,有幫上忙嗎
#00107,希望下次還有機會
#00108,再會了
#00109,祝你有個好夢
#00110,這、這是……
#00111,來得正好
#00112,我乃國王
#00113,嗯哼
#00114,哈囉
#00115,歡迎
#00116,盯——
#00117,不必拘束
#00118,請多指教！
#00119,那麼，就開始了
#00120,閒晃
#00121,嘿
#00122,嘿呀
#00123,唔
#00124,嘿呀
#00125,哇呀
#00126,看招
#00127,原來如此
#00128,嗯嗯
#00129,敲敲
#00130,敲敲打打
#00131,鏗鏗
#00132,咚咚
#00133,碰碰
#00134,鏘鏘
#00135,正在修理
#00136,開始修理吧
#00137,撲通撲通
#00138,緊張
#00139,那樣
#00140,這樣
#00141,喋喋不休
#00142,失敗了……
#00143,協作討伐事件#1
#00144,=MID(#00143,1,-1)&'2'
#00145,=MID(#00143,1,-1)&'3'
#00146,=MID(#00143,1,-1)&'4'
#00147,=MID(#00143,1,-1)&'5'
#00148,=MID(#00143,1,-1)&'6'
#00149,=MID(#00143,1,-1)&'7'
#00150,=MID(#00143,1,-1)&'8'
#00151,=MID(#00143,1,-1)&'9'
#00152,=MID(#00143,1,-1)&'10'
#00153,=MID(#00143,1,-1)&'11'
#00154,=MID(#00143,1,-1)&'12'
#00155,=MID(#00143,1,-1)&'13'
#00156,=MID(#00143,1,-1)&'14'
#00157,=MID(#00143,1,-1)&'15'
#00158,=MID(#00143,1,-1)&'16'
#00159,=MID(#00143,1,-1)&'17'
#00160,=MID(#00143,1,-1)&'18'
#00161,=MID(#00143,1,-1)&'19'
#00162,=MID(#00143,1,-1)&'20'
#00163,=MID(#00143,1,-1)&'21'
#00164,=MID(#00143,1,-1)&'22'
#00165,=MID(#00143,1,-1)&'23'
#00166,=MID(#00143,1,-1)&'24'
#00167,=MID(#00143,1,-1)&'25'
#00168,=MID(#00143,1,-1)&'26'
#00169,=MID(#00143,1,-1)&'27'
#00170,=MID(#00143,1,-1)&'28'
#00171,=MID(#00143,1,-1)&'29'
#00172,=MID(#00143,1,-1)&'30'
#00173,=MID(#00143,1,-1)&'31'
#00174,=MID(#00143,1,-1)&'32'
#00175,=MID(#00143,1,-1)&'33'
#00176,=MID(#00143,1,-1)&'34'
#00177,=MID(#00143,1,-1)&'35'
#00178,=MID(#00143,1,-1)&'36'
#00179,=MID(#00143,1,-1)&'37'
#00180,=MID(#00143,1,-1)&'38'
#00181,=MID(#00143,1,-1)&'39'
#00182,=MID(#00143,1,-1)&'40'
#00183,=MID(#00143,1,-1)&'41'
#00184,=MID(#00143,1,-1)&'42'
#00185,=MID(#00143,1,-1)&'43'
#00186,=MID(#00143,1,-1)&'44'
#00187,=MID(#00143,1,-1)&'45'
#00188,=MID(#00143,1,-1)&'46'
#00189,=MID(#00143,1,-1)&'47'
#00190,=MID(#00143,1,-1)&'48'
#00191,=MID(#00143,1,-1)&'49'
#00192,=MID(#00143,1,-1)&'50'
#00193,=MID(#00143,1,-1)&'51'
#00194,=MID(#00143,1,-1)&'52'
#00195,=MID(#00143,1,-1)&'53'
#00196,=MID(#00143,1,-1)&'54'
#00197,=MID(#00143,1,-1)&'55'
#00198,=MID(#00143,1,-1)&'56'
#00199,=MID(#00143,1,-1)&'57'
#00200,=MID(#00143,1,-1)&'58'
#00201,=MID(#00143,1,-1)&'59'
#00202,=MID(#00143,1,-1)&'60'
#00203,=MID(#00143,1,-1)&'61'
#00204,=MID(#00143,1,-1)&'62'
#00205,=MID(#00143,1,-1)&'63'
#00206,=MID(#00143,1,-1)&'64'
#00207,=MID(#00143,1,-1)&'65'
#00208,=MID(#00143,1,-1)&'66'
#00209,=MID(#00143,1,-1)&'67'
#00210,=MID(#00143,1,-1)&'68'
#00211,=MID(#00143,1,-1)&'69'
