@title,中文(简体)
@language,zh-CN
@scale,auto
@appli,133 - Do not change
@version,1.72 - Do not change
@author,Your Name
#00000,<po=m>可能潜伏着可怕的敌人，<br>请做好准备再派遣吧。
#00001,未使用
#00002,没有路……
#00003,迷路了……
#00004,这是哪里……
#00005,好累
#00006,嘿咻
#00007,初次见面！
#00008,多多关照！
#00009,你好！
#00010,被打败了
#00011,认输了
#00012,唔哇——
#00013,哎哟
#00014,糟了
#00015,不行了
#00016,受不了
#00017,振作点
#00018,没事
#00019,哎呀呀
#00020,哎呀——
#00021,糟糕！
#00022,保持清醒
#00023,早上好
#00024,睡得很好
#00025,还是很困
#00026,哈～啊
#00027,呼噜噜
#00028,真是个美好的早晨
#00029,好困……
#00030,该睡了
#00031,晚安
#00032,明天见
#00033,选这个吧
#00034,这个不错
#00035,这个吗
#00036,就是这个
#00037,请给我这个
#00038,我决定要这个
#00039,成功了
#00040,耶——
#00041,太好了
#00042,满意
#00043,得到了
#00044,感动
#00045,好厉害
#00046,情况不错
#00047,要加油了
#00048,急不可待了
#00049,包在我身上
#00050,嘿呀
#00051,完成
#00052,做好了
#00053,做得不错
#00054,做得很成功
#00055,收割啦
#00056,丰收咯
#00057,是时候咯
#00058,哎哟嘿
#00059,嘿哟
#00060,嗨哟
#00061,嘿呀
#00062,好重
#00063,嘿哟嘿哟
#00064,没有异常
#00065,售罄了啊
#00066,什么都没有
#00067,谢谢帮忙
#00068,谢谢
#00069,呼
#00070,满头大汗
#00071,得意
#00072,赢啦——
#00073,胜利
#00074,好闲啊
#00075,没人来吗
#00076,天气真好
#00077,出现了——
#00078,来者何人
#00079,唔唔唔
#00080,啊啊
#00081,啊呀
#00082,啊
#00083,欢迎光临
#00084,感谢惠顾
#00085,感谢惠顾
#00086,乖乖
#00087,吁吁——
#00088,嘿呀嘿呀
#00089,哟吼
#00090,哎哟喂
#00091,铛铛
#00092,偷偷摸摸
#00093,摩擦摩擦
#00094,正在使用……
#00095,这个是
#00096,噢噢
#00097,唔——
#00098,呆——
#00099,晃晃悠悠
#00100,要做什么呢
#00102,店员
#00103,有人吗
#00104,叮——
#00105,努力了
#00106,帮上忙了吗
#00107,希望下次还有机会
#00108,再会吧
#00109,祝你好梦
#00110,这、这是……
#00111,来得正好
#00112,我是国王
#00113,咳咳
#00114,哈喽
#00115,欢迎
#00116,盯——
#00117,不必拘束
#00118,请多多关照！
#00119,那么，就开始了
#00120,走来走去
#00121,嘿
#00122,嘿呀
#00123,唔
#00124,嘿呀
#00125,哇呀
#00126,看招
#00127,原来如此
#00128,嗯嗯
#00129,嗒嗒
#00130,咚嗒咚嗒
#00131,铿铿
#00132,咚咚
#00133,碰碰
#00134,嗒嗒嗒
#00135,正在修理
#00136,开始修理吧
#00137,扑通扑通
#00138,紧张
#00139,那样
#00140,这样
#00141,喋喋不休
#00142,失败了……
#00143,协作讨伐活动 #1
#00144,=MID(#00143,1,-1)&'2'
#00145,=MID(#00143,1,-1)&'3'
#00146,=MID(#00143,1,-1)&'4'
#00147,=MID(#00143,1,-1)&'5'
#00148,=MID(#00143,1,-1)&'6'
#00149,=MID(#00143,1,-1)&'7'
#00150,=MID(#00143,1,-1)&'8'
#00151,=MID(#00143,1,-1)&'9'
#00152,=MID(#00143,1,-1)&'10'
#00153,=MID(#00143,1,-1)&'11'
#00154,=MID(#00143,1,-1)&'12'
#00155,=MID(#00143,1,-1)&'13'
#00156,=MID(#00143,1,-1)&'14'
#00157,=MID(#00143,1,-1)&'15'
#00158,=MID(#00143,1,-1)&'16'
#00159,=MID(#00143,1,-1)&'17'
#00160,=MID(#00143,1,-1)&'18'
#00161,=MID(#00143,1,-1)&'19'
#00162,=MID(#00143,1,-1)&'20'
#00163,=MID(#00143,1,-1)&'21'
#00164,=MID(#00143,1,-1)&'22'
#00165,=MID(#00143,1,-1)&'23'
#00166,=MID(#00143,1,-1)&'24'
#00167,=MID(#00143,1,-1)&'25'
#00168,=MID(#00143,1,-1)&'26'
#00169,=MID(#00143,1,-1)&'27'
