盾	Shield
服	Clothing
頭部	Head
ｱｸｾｻﾘ	Accessory
武器	Weapon
経験値量	EXP
回復量	Recovery
耐久上限	Max Durability
狙われ度	Provoke
<0>回復	Heal <0>
標的ｺｽﾄ	Target Cost
耐久度	Durability
雑用系	General
戦闘系	Battle
お店系	Shop
<0>個ｾｯﾄ	Set of <0>
モンスター	Monsters
資源	Materials:
研究	Research
装備	Equipment
施設	Facility
技	Skill
職業	Job
特別な宝箱を見つけました。	You found some special treasure.
から<0>｢<1>｣の権利を<2>回ゲット	Acquired <0> <1> rights x<2>
から<0>｢<1>｣を<2>個ゲット	Acquired <0> <1> x<2>
新しいエリアを見つけました。	You discovered a new area.
未開拓地	Unexplored
撤退	Remove
平均Lv	Average Lv.
ﾒﾝﾊﾞｰ	Members
あきらめる\t再開(あと<0>回)	Give Up\tRestart (<0> more)
すぐ開始	Start Now
キャンセル	Cancel
ボスを見つけました。	You found a boss monster.
別のボス討伐が進行中です。	Currently fighting another boss.
この位置でいいですか	Start from here?
工事	Construction
通れない	No access
どこまで敷きますか	Select end point.
どこから敷きますか	Select starting point.
<po=m><co=ff0000>近くに看板がありません	No signs nearby.
<po=m><co=ff0000>近くに防壁玄関がありません	No defensive wall gates nearby.
工事数が最大です	Max constructions reached.
ﾀﾞｲﾔｼｮｯﾌﾟで販売中	Available at the Diamond Shop
初撃破!	First victory!
報酬	Reward
レベルアップ中は撤去できません	Cannot remove while leveling up.
研究中は撤去できません	Cannot remove while researching.
担当者を外してからにしてください	Take away leadership first.
街が複数ある	You have more than one town.
街の住民 0人 (引越し等)	Residents: 0 (Moving, etc.)
街の拡張施設を撤去済み	Demolition of expansion facilities complete.
街の施設がﾚﾍﾞﾙｱｯﾌﾟ中ではない	Unavailable while facilities are leveling up.
街同士で物資を移動中ではない	Unavailable while goods are moved.
街に工事が必要な施設がない	No facilities that need construction.
ﾓﾝｽﾀｰが襲撃中ではない	No attacking monsters.
タウンホール撤去条件	Town Hall Demolition Requirements
<po=m>銅貨箱や仲間ﾓﾝｽﾀｰも<br>あらかじめ避難ください。	Keep your coin boxes and ally monsters safe.
どこまで撤去しますか?	Remove up to where?
何を撤去しますか?	Remove which?
<po=m><0>を撤去しますか?<br>※撤去すると失います	<po=m>Remove <0>?<br>*It will be lost permanently.
撤去\t<po=lm><si=9><bo=fefefe>手元に戻す</bo></si>&<po=rm><pic=money><0>	Remove\t<po=lm><si=9><bo=fefefe>and return to? </bo></si>&<po=rm><pic=money><0>
<po=m><0>と全施設を<br>撤去します	Remove all facilities and <0>?
<po=m>建て直す際、街ランクは<br>保持されません	If you rebuild your town it will lose its current rank.
すでに調査中です	A survey is already in progress.
派遣先	Destination
<po=m><0>さんを派遣<br>場所を選んで下さい	Select where to deploy <0>
<po=m>マップの明るいところを<br>選んで下さい	Select a clear part of the map.
<po=m><0>さんの派遣内容<br>を変更しますか?	Change <0>'s quest objective?
帰還する\t場所変更	Retreat\tChange Destination
<0>さんが帰還します。	<0> is heading back.
参加 <0>人	Participating: <0>
上限	Max
低	Low
高	High
洞窟が出現しました	A cave has appeared.
研究中	Researching...
達成 / また次回	Completed / Next
本日分を登録	Register Today
達成 <0>件	Completed: <0>
<po=m>フレンドを招待することが出来ます<br>フレンドを探そう	<po=m>You can now invite friends to your kingdom.<br>Try adding some new friends.
フレンドを招待しますか	Invite a friend?
招待できる人がいませんでした	No friends to invite.
街の領域外です	Out of bounds.
<0>が足りません	Not enough <0>
観光船を呼びましょう	Invite a tourist ship
得意地形!	Specialty terrain!
<0>を撤去しますか?	Remove <0>?
今日のミッションを中断しますか？	Do you want to abort today's challenge?
はい\tいいえ	OK\tCancel
小	Maddy
中	Medium
大	L
特大	XL
土地を与える	Give Land
撤去する	Remove
玄関を建てる	Build an entrance.
土地を撤去しますか?	Remove plot?
<0>はモンスター牧場に向かった	<0> went to the Monster Farm.
<0>は自然に帰っていった	<0> returned to the wild.
対戦する	Battle
<pic=stamina>が満杯です	<pic=stamina> full.
<0>を最大まで回復します	Fully recover <0>
<0>さん 調査完了	<0> finished their survey.
<po=m><0>を<br>すぐに完了します	Instant <0>
調査	Survey
<0> ﾗﾝｸﾎﾟｲﾝﾄ満ﾀﾝ!	<0> Rank Points full!
<0>つ目の街	Town No. <0>
どうしようかな	What to do?
ランクアップ	Rank Up
冒険者	Adventurer
滞在	Stay
観光客が最大です。	Max number of tourists reached.
近くに看板が必要です	You need a sign nearby.
<po=m>ｶｲﾛﾗﾝﾄﾞ<br>ﾀﾞｲﾔGET	<po=m>Get<br>Diamonds<br>with Kairo Land
<po=m>Tapjoy<br>ﾀﾞｲﾔGET	<po=m>Get<br>Diamonds<br>with Tapjoy
<po=m>撮影で<br>ﾀﾞｲﾔGET	<po=m>Get<br>Diamonds<br>for pics
<po=m>動画で<br>ﾀﾞｲﾔGET	<po=m>Get<br>Diamonds<br>for videos
<po=m>国王の<br>相談室	<po=m>Royal<br>Chamber
国王たろう	Rex Regis
国王はな子	Carrie Regis
環境	Env.
 資源	Materials
 設備	Amenity
 室内	Indoors
 中	 Medium
 高	 High
 無	 None
やさしい	Easy
ふつう	Normal
むずかしい	Hard
さいきょう	Lunatic
そこそこ	Not Bad
良い	Good
豪華	Luxury
課金	Premium
ダイヤ	Diamonds
ポイント	Points
特別アイテム(全体用)	Special Items (Group)
特別アイテム(個別)	Special Items (Individual)
高め	High
低め	Low
経験値2倍チャンス!	Double EXP!
宝箱大発生チャンス!	Get more Treasure Chests!
はりきって調査した所…	I went all out on this survey...
ルンルン気分で調査した結果	I set out on my survey feeling really happy...
調子がいい状態で調査した結果	I set out on this survey full of energy...
ノリノリで調査した所…	My spirits were really up on this survey...
朝の占いは凶でしたが…なんと	My horoscope for today wasn't looking good...
元気よく調査した所…	I was feeling pretty good for this survey...
たまに逆立ちして調査した所	I ran into some problems on this survey...
諦めて帰ろうとした所…なんと	I was going to give up and come home, but then...
奇跡につぐ奇跡が起き…	I witnessed a real miracle!
なんと出かけてすぐに	As soon as I set out...
なんということでしょう…	How should I put this...
こんな奇跡は初めて…	I'd never seen anything like it.
やりました！	It was a success!
勢いよく出かけた結果…	I set out on this survey ready to give it my all...
気合を入れて調査した結果	I set out on this survey feeling inspired...
はりきってたが靴ひもがほどけ…	Right after I got going, all my ropes came undone...
途中で突き指をした結果…	The survey wasn't looking good, but I got a second wind...
ノリにのりまくって調査した所…	I decided to just go with the flow...
大成功だ!と豪語して出た所…	I was really confident this survey would go well...
途中崖から落ちてしまった結果…	I walked right off the edge of a cliff...
気づいたらまだベッドにいた所…	I can't believe I overslept on the big day...
寝不足のまま挑戦した結果…	I was feeling groggy from lack of sleep...
諦めて帰ろうとした結果…	I had to give up and come home...
