,,,,,,,,,,,,prices,,,,,,,,,,,,,,,,,,,,,
id,name,category,type,sortId,group,craftGroup,rank,requireLevel,iconU,iconV,currency,,,,copperCoinExchangeRateNum,explain,explain2,bonusCategory,bonusType,bonusMinValue,bonusMaxValue,eggBonusType,eggBonusValue,eggBonusExp,eggBonusTime,relatedDataId,billingId,craftTermStudioLevel,craftTermIntelligence,craftTimeSeconds,initNum,flag,flag
0,Diamonds,2,8,0,-1,-1,0,-1,0,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
1,Grass,3,9,0,-1,-1,0,-1,1,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
2,Wood,3,10,0,-1,-1,0,-1,2,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
3,Food,3,11,0,-1,-1,0,-1,3,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
4,Ore,3,12,0,-1,-1,0,-1,4,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
5,Mystic Ore,3,13,0,-1,-1,0,-1,5,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
6,Energy,3,14,0,-1,-1,0,-1,6,10,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
7,Job Trade Ticket,6,19,0,-1,-1,0,-1,7,0,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
8,Equipment Trade Ticket,6,20,0,-1,-1,0,-1,8,0,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
9,Facility Trade Ticket,6,21,0,-1,-1,0,-1,9,0,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
10,Item Trade Ticket,6,22,0,-1,-1,0,-1,10,0,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
11,Friend Trade Ticket,6,18,0,-1,-1,0,-1,11,0,-1,2,0,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
12,Copper Coin,5,15,0,-1,-1,4,-1,0,0,-1,2,2,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
13,Silver Coin,5,16,0,-1,-1,5,-1,1,0,-1,2,2,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
14,Gold Coin,5,17,0,-1,-1,6,-1,2,0,-1,2,3,0,-1,Not used,Not used,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,96,"android, ios"
15,200 Diamonds,2,8,0,-1,-1,0,-1,0,0,-1,2,0,0,-1,A great chance to get a lot of Diamonds all at once.,Not used,1,0,0,200,-1,0,0,0,-1,dia_200_case0,0,0,0,0,353,"init find, android, ios, shop sale"
16,"1,000 Diamonds",2,8,0,-1,-1,0,-1,0,0,-1,2,0,0,-1,A great chance to get a lot of Diamonds all at once.,Not used,1,0,0,1000,-1,0,0,0,-1,dia_1000_case0,0,0,0,0,353,"init find, android, ios, shop sale"
