,,,,,,,,,,,,,materialPoints [],,,,,,,,,,,,,,,
,type,category,natureId,natureGroupId,res,img,seb,frame,res2,shoesImg,dataId,weaponId,,,,,,,,monsterGroupId,dropGroupId,materialDropRate,itemDropRate,minDropNum,maxDropNum,hp,appearRate,flag
0,0,0,-1,0,9,31,1,0,19,1,1,5,6,0,0,0,1,0,0,107,107,50,100,1,1,55,1000,1
1,0,0,-1,0,9,32,1,0,19,1,2,5,6,0,0,0,2,0,0,107,107,50,120,1,1,65,1000,1
2,0,0,-1,0,9,33,1,0,19,1,3,5,6,0,0,0,3,0,0,107,107,50,130,1,1,75,1000,1
3,0,0,-1,0,9,34,1,0,19,1,4,5,6,0,0,0,4,0,0,107,107,50,150,1,1,85,1000,1
4,1,0,49,1,9,28,0,0,19,-2,5,10,6,0,1,0,0,1,0,100,100,100,50,1,1,65,1000,2
5,1,0,50,1,9,29,0,0,19,-2,6,10,6,0,1,0,0,1,0,100,100,120,52,1,1,65,1000,2
6,1,0,51,1,9,30,0,0,19,-2,7,10,6,0,1,0,1,1,0,100,100,150,54,1,1,75,1000,2
7,1,0,52,1,9,51,0,0,19,-2,7,10,6,0,3,0,1,2,0,100,100,180,56,1,1,100,1000,2
8,1,0,49,1,9,52,0,0,19,-2,7,10,6,0,4,0,1,3,0,100,100,200,58,1,1,120,1000,2
9,2,0,53,2,9,14,0,0,19,0,8,7,6,0,1,1,1,0,0,101,101,350,70,1,1,70,1000,2
10,2,0,54,2,9,15,0,0,19,0,8,7,6,0,1,1,1,0,0,101,101,370,72,1,1,70,1000,2
11,2,0,55,2,9,18,0,0,19,0,8,7,6,0,2,1,1,0,0,101,101,390,74,1,1,80,1000,2
12,2,0,57,2,9,16,0,0,19,0,8,7,6,0,2,2,2,0,0,101,101,400,76,1,1,95,1000,2
13,2,0,58,2,9,17,0,0,19,0,8,7,6,0,3,2,3,0,0,101,101,420,78,1,1,110,1000,2
14,3,0,59,3,9,38,0,0,19,-2,9,10,6,0,0,0,0,1,0,102,102,100,45,1,1,105,1000,2
15,3,0,60,3,9,41,0,0,19,-2,9,10,6,0,0,0,0,1,0,102,102,150,47,1,1,105,1000,2
16,3,0,61,3,9,53,0,0,19,-2,9,10,6,0,0,0,0,1,0,102,102,200,49,1,1,105,1000,2
17,3,0,63,3,9,54,0,0,19,-2,9,10,6,0,1,0,0,3,0,102,102,250,51,1,1,135,1000,2
18,3,0,64,3,9,55,0,0,19,-2,9,10,6,0,1,0,0,3,0,102,102,300,53,1,1,130,1000,2
19,4,0,65,4,9,39,0,0,19,-2,10,6,6,0,0,0,0,2,0,103,103,350,80,1,1,140,1000,2
20,4,0,66,4,9,59,0,0,19,-2,10,6,6,0,0,0,0,2,0,103,103,350,82,1,1,140,1000,2
21,4,0,67,4,9,60,0,0,19,-2,10,6,6,0,0,0,0,2,0,103,103,350,84,1,1,140,1000,2
22,4,0,69,4,9,61,0,0,19,-2,10,6,6,0,0,1,0,4,1,103,103,350,86,1,1,170,1000,2
23,4,0,70,4,9,62,0,0,19,-2,10,6,6,0,0,1,0,4,1,103,103,400,88,1,1,170,1000,2
