,,,,,,,saleTerm [][],,,,,,,,,,,buyTerm [][],,,,,,,,,,,,,,,,
id,name,type,sortId,rank,iconU,iconV,,,,,,,,,,,coinPrice,,,,,,,,,,,,explain,bonusCategory,bonusType,bonusMinValue,bonusMaxValue,flag
0,Water of Life #1,0,0,0,4,0,1,3,100,1,1,,,,,,750,2,4,23,66,4,1,4,23,70,23,1,Increases all residents' HP by 10.,1,7,10,10,3
1,Water of Life #2,0,0,0,4,0,2,3,15,65,1,4,91,0,1,1,750,2,4,23,66,4,1,4,23,70,24,1,Increases all residents' HP by 10.,1,7,10,10,3
2,Water of Life #3,0,0,0,4,0,2,3,15,70,1,4,91,1,1,1,750,2,4,23,66,4,1,4,23,70,26,1,Increases all residents' HP by 10.,1,7,10,10,3
3,Water of Life #4,0,0,0,4,0,2,3,15,75,1,4,91,2,1,1,750,2,4,23,66,4,1,4,23,70,27,1,Increases all residents' HP by 10.,1,7,10,10,3
4,Water of Life #5,0,0,0,4,0,2,3,15,80,1,4,91,3,1,1,750,2,4,23,66,4,1,4,23,70,29,1,Increases all residents' HP by 10.,1,7,10,10,3
5,Water of Life #6,0,0,0,4,0,2,3,15,85,1,4,91,4,1,1,750,2,4,23,66,4,1,4,23,70,30,1,Increases all residents' HP by 10.,1,7,10,10,3
6,Water of Life #7,0,0,0,4,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases all residents' HP by 10.,1,7,10,10,0
7,Water of Life #8,0,0,0,4,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases all residents' HP by 10.,1,7,10,10,0
8,Water of Life #9,0,0,0,4,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases all residents' HP by 10.,1,7,10,10,0
9,Water of Life #10,0,0,0,4,0,0,,,,,,,,,,750,0,,,,,,,,,,,Increases all residents' HP by 10.,1,7,10,10,0
10,Water of Life #11,0,0,0,4,0,1,3,15,1,1,,,,,,750,2,4,23,66,4,1,4,23,70,5,1,Increases all residents' HP by 10.,1,7,10,10,3
11,Water of Life #12,0,0,0,4,0,2,3,15,3,1,4,91,10,1,1,750,2,4,23,66,4,1,4,23,70,5,1,Increases all residents' HP by 10.,1,7,10,10,3
12,Water of Life #13,0,0,0,4,0,2,3,15,6,1,4,91,11,1,1,750,2,4,23,66,4,1,4,23,70,6,1,Increases all residents' HP by 10.,1,7,10,10,3
13,Water of Life #14,0,0,0,4,0,2,3,15,9,1,4,91,12,1,1,750,2,4,23,67,3,1,4,23,70,7,1,Increases all residents' HP by 10.,1,7,10,10,3
14,Water of Life #15,0,0,0,4,0,2,3,15,15,1,4,91,13,1,1,750,2,4,23,67,3,1,4,23,70,9,1,Increases all residents' HP by 10.,1,7,10,10,3
15,Water of Life #16,0,0,0,4,0,2,3,15,20,1,4,91,14,1,1,750,2,4,23,67,3,1,4,23,70,11,1,Increases all residents' HP by 10.,1,7,10,10,3
16,Water of Life #17,0,0,0,4,0,2,3,15,30,1,4,91,15,1,1,750,2,4,23,68,2,1,4,23,70,14,1,Increases all residents' HP by 10.,1,7,10,10,3
17,Water of Life #18,0,0,0,4,0,2,3,15,45,1,4,91,16,1,1,750,2,4,23,68,2,1,4,23,70,18,1,Increases all residents' HP by 10.,1,7,10,10,3
18,Water of Life #19,0,0,0,4,0,2,3,15,65,1,4,91,17,1,1,750,2,4,23,69,1,1,4,23,70,24,1,Increases all residents' HP by 10.,1,7,10,10,3
19,Water of Life #20,0,0,0,4,0,2,3,15,80,1,4,91,18,1,1,750,2,4,23,69,1,1,4,23,70,29,1,Increases all residents' HP by 10.,1,7,10,10,3
20,Water of Wisdom #1,0,0,0,5,0,1,3,100,1,1,,,,,,750,2,4,23,66,4,1,4,23,70,23,1,Increases all residents' MP by 10.,1,8,10,10,3
21,Water of Wisdom #2,0,0,0,5,0,2,3,15,65,1,4,91,20,1,1,750,2,4,23,66,4,1,4,23,70,24,1,Increases all residents' MP by 10.,1,8,10,10,3
22,Water of Wisdom #3,0,0,0,5,0,2,3,15,70,1,4,91,21,1,1,750,2,4,23,66,4,1,4,23,70,26,1,Increases all residents' MP by 10.,1,8,10,10,3
23,Water of Wisdom #4,0,0,0,5,0,2,3,15,75,1,4,91,22,1,1,750,2,4,23,66,4,1,4,23,70,27,1,Increases all residents' MP by 10.,1,8,10,10,3
