,,,,,,,,,
,Day of the week,Profession,,,,,,,
,Sunday,Cook | Knight | Viking | Champion | Wizard,,,,,,,
,Monday,Merchant | Artisan | Mage,,,,,,,
,Tuesday,Farmer | Blacksmith | Paladin,,,,,,,
,Wednesday,Carpenter | Doctor | Gunner,,,,,,,
,Thursday,Mover | Monk | Archer,,,,,,,
,Friday,Trader | Rancher | Ninja,,,,,,,
,Saturday,Researcher | Guard | Samurai | Pirate,,,,,,,
,,,,,,,,,
Ranking Board Rewards,Day of the week,Rank,Reward,,,,,,
,,,Weapon,Armor,Shield,Overall Item 1,Overall Item 2,Ticket,Skill
,Sunday,S,A / Artisanal Sword,C / Skirt,C / Demonic Shield,3x Skill Slot Up,Eternal Candle,Facility Trade Ticket,5-Hit Attack
,,A,B / Commander's Sword,D / Thick Garmet,D / Iron Shield,2x Skill Slots Up,3x Bounty Bag,Facility Trade Ticket,4-Hit Attack
,Monday,S,A / Red Club,B / Purple Cape,B / Green Shield,3x Recovery Potion (L),Eternal Candle,Job Trade Ticket,Lightning Magic V
,,A,B / iron bar,C / Durable cloak,D / folk art shield,2 diffusion recovery drugs,3 speed shoes,Occupation Trade Ticket,Lightning Magic IV
,Tuesday,S,A / Emerald Club,B / Bronze Armor,C / Nightmare Shield,3x Skill Slot Up,Eternal Candle,Equipment Trade Ticket,Ice Magic V
,,A,C / Art Bar,C / Light Mail,D / hard shield,2 skill slots UP,3 small amount of secret medicine,Equipment Trade Ticket,Ice Magic IV
,Wednesday,S,A / Light Staff,C / Skirt,B / Shell Shield,3x Recovery Potion (L),Eternal Candle,Item Trade Ticket,Fire Magic V
,,A,B / Shining Staff,D / Thick Garment,D / Folk Art Shield,2x Recovery Potion (L),3x Recovery Energy,Item Trade Ticket,Fire Magic IV
,Thursday,S,A / Giga Ninja Star,B / Purple Cape,B / Green Shield by,3x Skill Slot Up,Eternal Candle,Facility Trade Ticket,Area Attack III
,,A,B / Flame Ninja Star,C / Durable Cape,C / Nightmare Shield,2x Skill Slots Up,3x Mystic Flute,Facility Trade Ticket,Stealth
,Friday,S,A / Honor Sword,B / Bronze Armor,B / Scholar's Shield,3x Recovery Potion (L),Eternal Candle,Equipment Trade Ticket,Experience Up lll
,,A,B / Lightweight Sword,C / Light Mail,C / Noble Shield,2x Recovery Potion (L),3x Holy Herb,Equipment Trade Ticket,Experience Up ll
,Saturday,S,A / High speed bow,B / Copper armor,B / Green Shield,3 skill slots UP,Candle of life,Item Trade Ticket,Stubborn
,,A,B / Hunting Bow,C / Light Mail,C / Nightmare Shield,2x Skill Slot Up,3x Energizing Stew,Item Trade Ticket,Heal L
,,,,,,,,,
,Day of the week,Quest name,Equipment from box,,,,,,
,,,,,,,,,
,Sunday,"Kairo Kommander's
Challenge","A / Kairo Lance 
A / Kairo Hammer
A / Kairo Sword
A / Kairo Bow",,,,,,
,,,,,,,,,
,Monday,-,-,,,,,,
,,,,,,,,,
,Tuesday,"Kairobot Mage's
Challenge","A / Kairo Hammer
A / Kairo Lance",,,,,,
,,,,,,,,,
,Wednesday,-,-,,,,,,
,,,,,,,,,
,Thursday,"Aloha Kairobot's
Challenge",A / Kairo Bow,,,,,,
,,,,,,,,,
,Friday,-,-,,,,,,
,,,,,,,,,
,Saturday,"Kairobot Knight's
Challenge",A / Kairo Sword,,,,,,
