,,,,,,,rankRates,,,,,,numOfOccurrence,,,,,
id,startMonth,startDate,finishMonth,finishDate,explain,groupRateTable,,,,,,groupSRankExtraRate,,,,,,
0,1,1,12,31,Get D-A Grade weapons!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8",4,500,300,150,0,n/a,5,29310,50539,15092,5059,0
1,1,5,1,10,Get D-A Grade weapons. The Kairo Series will appear until the 10th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27958,48477,14606,8959,0
2,1,20,1,25,Get D-A Grade weapons. The Kairo Series will appear until the 25th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,28187,48084,14708,9021,0
3,2,5,2,10,Get D-A Grade weapons. The Kairo Series will appear until the 10th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27945,48485,14605,8965,0
4,2,20,2,25,Get D-A Grade weapons. The Kairo Series will appear until the 25th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,28114,48289,14665,8932,0
5,3,5,3,10,Get D-A Grade weapons. The Kairo Series will appear until the 10th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27957,48348,14612,9083,0
6,3,20,3,25,Get D-A Grade weapons. The Kairo Series will appear until the 25th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27699,48544,14735,9022,0
7,4,5,4,10,Get D-A Grade weapons. The Kairo Series will appear until the 10th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27967,48457,14581,8995,0
8,4,20,4,25,Get D-A Grade weapons. The Kairo Series will appear until the 25th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,28122,48477,14525,8876,0
9,5,5,5,10,Get D-A Grade weapons. The Kairo Series will appear until the 10th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27859,48492,14685,8964,0
10,5,20,5,25,Get D-A Grade weapons. The Kairo Series will appear until the 25th!,"1,34<br>2,51<br>3,17<br>4,8<br>5,17<br>6,102<br>7,8<br>8,8<br>9,8<br>10,8<br>11,200",4,500,300,150,0,n/a,5,27945,48350,14654,9051,0
