,,,,,,,,,,,,,,,maxWarehouseNums [],,,,,,,,,
,rank,exp,rankupTimeSeconds,maxResidents,staminaPumpCapacity,staminaCapacity,staminaProductTimeSeconds,bonusCoin,bonusCoin2,maxDangeons,maxEnemies,maxDangeonsEnemies,maxTreasureCapacity,maxItemCapacity,,,,,,,,,,
0,0,0,0,3,10,50,14400,0,0,1,3,1,10,20,9,0,4,4,4,4,4,4,4,4
1,1,0,5,4,10,50,14400,50,5,1,5,1,10,20,9,0,8,8,8,8,8,8,8,8
2,2,48,120,5,12,52,14400,50,5,1,5,1,10,20,9,0,8,8,8,8,8,8,8,8
3,3,220,300,6,14,54,14400,50,5,1,6,1,10,20,9,0,8,8,8,8,8,8,8,8
4,4,348,420,7,16,56,14400,50,5,1,6,1,10,20,9,0,8,8,8,8,8,8,8,8
5,5,572,600,8,18,58,14400,50,5,1,6,1,10,20,9,0,12,12,12,12,12,12,12,12
6,6,948,900,9,20,60,14400,50,5,1,7,1,10,20,9,0,12,12,12,12,12,12,12,12
7,7,1540,1200,10,22,62,14400,50,5,1,7,1,10,20,9,0,12,12,12,12,12,12,12,12
8,8,2428,1800,11,24,64,14400,50,5,1,8,1,10,20,9,0,12,12,12,12,12,12,12,12
9,9,3700,2700,12,26,66,14400,50,5,1,8,1,10,20,9,0,12,12,12,12,12,12,12,12
10,10,5500,3600,13,28,68,14400,50,10,1,8,1,10,20,9,0,16,16,16,16,16,16,16,16
11,11,5800,7200,14,30,70,14400,50,10,2,9,2,10,20,9,0,16,16,16,16,16,16,16,16
12,12,6100,10800,15,32,72,14400,50,10,2,9,2,10,20,9,0,16,16,16,16,16,16,16,16
13,13,6400,14400,16,34,74,14400,50,10,2,10,2,10,20,9,0,16,16,16,16,16,16,16,16
14,14,6700,18000,17,36,76,14400,50,10,2,10,2,10,20,9,0,16,16,16,16,16,16,16,16
15,15,7000,21600,18,38,78,14400,50,10,2,10,2,10,20,9,0,20,20,20,20,20,20,20,20
16,16,7300,25200,19,40,80,14400,50,10,2,11,2,10,20,9,0,20,20,20,20,20,20,20,20
17,17,7600,28800,20,42,82,14400,50,10,2,11,2,10,20,9,0,20,20,20,20,20,20,20,20
18,18,7900,32400,21,44,84,14400,50,10,2,11,2,10,20,9,0,20,20,20,20,20,20,20,20
19,19,8200,36000,22,46,86,14400,50,10,2,12,2,10,20,9,0,20,20,20,20,20,20,20,20
20,20,8500,39600,23,48,88,14400,50,50,2,12,2,10,20,9,0,24,24,24,24,24,24,24,24
21,21,9000,43200,24,50,90,14400,50,50,2,13,2,10,20,9,0,24,24,24,24,24,24,24,24
22,22,9500,46800,25,52,92,14400,50,50,2,13,2,10,20,9,0,24,24,24,24,24,24,24,24
23,23,10000,50400,26,54,94,14400,50,50,2,13,2,10,20,9,0,24,24,24,24,24,24,24,24
24,24,10500,54000,27,56,96,14400,50,50,2,14,2,10,20,9,0,24,24,24,24,24,24,24,24
25,25,11000,57600,28,58,98,14400,50,50,2,14,2,10,20,9,0,28,28,28,28,28,28,28,28
26,26,11500,61200,29,60,100,14400,50,50,2,15,3,10,20,9,0,28,28,28,28,28,28,28,28
27,27,12000,64800,30,62,102,14400,50,50,2,15,3,10,20,9,0,28,28,28,28,28,28,28,28
28,28,12500,68400,31,64,104,14400,50,50,2,15,3,10,20,9,0,28,28,28,28,28,28,28,28
29,29,13000,72000,32,66,106,14400,50,50,2,16,3,10,20,9,0,28,28,28,28,28,28,28,28
30,30,13500,75600,33,68,108,14400,50,50,2,16,3,10,20,9,0,32,32,32,32,32,32,32,32
31,31,14000,79200,34,70,110,14400,50,50,3,16,3,10,20,9,0,32,32,32,32,32,32,32,32
32,32,14500,82800,35,72,112,14400,50,50,3,17,3,10,20,9,0,32,32,32,32,32,32,32,32
33,33,15000,86400,36,74,114,14400,50,50,3,17,3,10,20,9,0,32,32,32,32,32,32,32,32
34,34,15500,90000,37,76,116,14400,50,50,3,18,3,10,20,9,0,32,32,32,32,32,32,32,32
35,35,16000,93600,38,78,118,14400,50,50,3,18,3,10,20,9,0,36,36,36,36,36,36,36,36
36,36,16500,97200,39,80,120,14400,50,50,3,18,3,10,20,9,0,36,36,36,36,36,36,36,36
37,37,17000,100800,40,82,122,14400,50,50,3,19,3,10,20,9,0,36,36,36,36,36,36,36,36
38,38,17500,104400,41,84,124,14400,50,50,3,19,3,10,20,9,0,36,36,36,36,36,36,36,36
39,39,18000,108000,42,86,126,14400,50,50,3,20,3,10,20,9,0,36,36,36,36,36,36,36,36
40,40,18500,111600,43,88,128,14400,50,50,3,20,3,10,20,9,0,40,40,40,40,40,40,40,40
41,41,19000,115200,44,90,130,14400,50,50,3,20,3,10,20,9,0,40,40,40,40,40,40,40,40
42,42,19500,118800,45,92,132,14400,50,50,3,21,4,10,20,9,0,40,40,40,40,40,40,40,40
43,43,20000,122400,46,94,134,14400,50,50,3,21,4,10,20,9,0,40,40,40,40,40,40,40,40
44,44,20500,126000,47,96,136,14400,50,50,3,21,4,10,20,9,0,40,40,40,40,40,40,40,40
45,45,21000,129600,48,98,138,14400,50,50,3,22,4,10,20,9,0,44,44,44,44,44,44,44,44
46,46,21500,133200,49,100,140,14400,50,50,3,22,4,10,20,9,0,44,44,44,44,44,44,44,44
47,47,22000,136800,50,102,142,14400,50,50,3,23,4,10,20,9,0,44,44,44,44,44,44,44,44
48,48,22500,140400,51,104,144,14400,50,50,3,23,4,10,20,9,0,44,44,44,44,44,44,44,44
49,49,23000,144000,52,106,146,14400,50,50,3,23,4,10,20,9,0,44,44,44,44,44,44,44,44
50,50,24000,147600,53,108,148,14400,50,50,3,24,4,10,20,9,0,48,48,48,48,48,48,48,48
51,51,25000,151200,54,110,150,14400,50,50,4,24,4,10,20,9,0,48,48,48,48,48,48,48,48
52,52,26000,154800,55,112,152,14400,50,50,4,25,4,10,20,9,0,48,48,48,48,48,48,48,48
53,53,27000,158400,56,114,154,14400,50,50,4,25,4,10,20,9,0,48,48,48,48,48,48,48,48
54,54,28000,162000,57,116,156,14400,50,50,4,25,4,10,20,9,0,48,48,48,48,48,48,48,48
