id,name,res,img,group,source,minLevel,maxLevel,hp,rank,week,equipId1,equip1,equipRate1,equipNum1,equipId2,equip2,equipRate2,equipNum2,equipId3,equip3,equipRate3,equipNum3,itemId1,item1,itemRate1,minItemNum1,maxItemNum1,itemId2,item2,itemRate2,minItemNum2,maxItemNum2,itemId3,item3,itemRate3,minItemNum3,maxItemNum3,furnitureId,furniture,furnitureRate,furnitureNum,valuableId,valuable,valuableRate,valuableNum,skillId,skill,skillRate,skillNum,jobId,job,jobRate,jobNum,flag,summary
0,Tool Box,27,47,100,,1,100,18,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,2,Wood,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Wood"
1,Tool Box,27,47,100,,10,500,45,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,2,Wood,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Wood"
2,Tool Box,27,47,100,,50,999,165,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,2,Wood,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Wood"
3,Tool Box,27,47,100,,100,999,315,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,2,Wood,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Wood"
4,Tool Box,27,47,100,,200,999,615,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,2,Wood,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Wood"
5,Sack of Grass,27,50,100,,1,999,18,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,85,Medicinal Herb,100,1,3,77,Strong Rope,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Medicinal Herb, 70% 1 - 3 Strong Rope, 15% 1 - 3 Grass"
6,Sack of Grass,27,50,100,,50,999,165,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,86,Leaf of Life,100,1,3,77,Strong Rope,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Leaf of Life, 70% 1 - 3 Strong Rope, 15% 1 - 3 Grass"
7,Sack of Grass,27,50,100,,150,999,465,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,87,Enchanted Root,100,1,3,77,Strong Rope,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Enchanted Root, 70% 1 - 3 Strong Rope, 15% 1 - 3 Grass"
8,Vegetable Pouch,27,53,100,,1,999,18,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,96,Sweet Mushroom,100,1,3,97,Healthy Mushroom,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sweet Mushroom, 70% 1 - 3 Healthy Mushroom, 15% 1 - 3 Grass"
9,Vegetable Pouch,27,53,100,,50,999,165,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,99,Potato,100,1,3,100,Radish,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Potato, 70% 1 - 3 Radish, 15% 1 - 3 Grass"
10,Vegetable Pouch,27,53,100,,150,999,465,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,101,Carrot,100,1,3,102,Onion,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Carrot, 70% 1 - 3 Onion, 15% 1 - 3 Grass"
11,Seed Pouch,27,52,100,,1,999,18,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,71,Farm Produce,100,1,3,72,Nuts,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Farm Produce, 70% 1 - 3 Nuts, 15% 1 - 3 Grass"
12,Seed Pouch,27,52,100,,50,999,165,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,71,Farm Produce,100,1,3,72,Nuts,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Farm Produce, 70% 1 - 3 Nuts, 15% 1 - 3 Grass"
13,Seed Pouch,27,52,100,,150,999,465,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,71,Farm Produce,100,1,3,72,Nuts,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Farm Produce, 70% 1 - 3 Nuts, 15% 1 - 3 Grass"
14,Seed Pouch,27,52,100,,200,999,615,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,71,Farm Produce,100,1,3,72,Nuts,70,1,3,1,Grass,15,1,3,-1,,0,0,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Farm Produce, 70% 1 - 3 Nuts, 15% 1 - 3 Grass"
15,Wooden Box,27,66,100,,1,100,18,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,12,Copper Coin,15,1,3,99,Wall: Fence,5,3,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Copper Coin, 5% 3 Wall: Fence"
16,Wooden Box,27,66,100,,10,500,45,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,12,Copper Coin,15,1,3,99,Wall: Fence,5,3,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Copper Coin, 5% 3 Wall: Fence"
17,Wooden Box,27,66,100,,50,999,165,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,75,Sturdy Board,100,1,3,76,Large Nail,70,1,3,12,Copper Coin,15,1,3,99,Wall: Fence,5,3,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Sturdy Board, 70% 1 - 3 Large Nail, 15% 1 - 3 Copper Coin, 5% 3 Wall: Fence"
18,Wooden Box,27,66,100,,100,999,315,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,4,Ore,100,1,3,75,Sturdy Board,70,1,3,12,Copper Coin,15,1,3,99,Wall: Fence,5,3,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Ore, 70% 1 - 3 Sturdy Board, 15% 1 - 3 Copper Coin, 5% 3 Wall: Fence"
19,Golden Barrel,27,65,100,,200,999,615,-1,-1,-1,,0,0,-1,,0,0,-1,,0,0,5,Mystic Ore,100,1,3,133,Veggie Juice,70,1,3,13,Silver Coin,15,1,3,99,Wall: Fence,5,3,-1,,0,0,-1,,0,0,-1,,0,0,0,"100% 1 - 3 Mystic Ore, 70% 1 - 3 Veggie Juice, 15% 1 - 3 Silver Coin, 5% 3 Wall: Fence"
