,,,,,,,,,,,,,,materialPoints [],,,,,,,,,,
id,initState,terrain,group,level,bossLevel,extraStamina,boss,followersNum,rewardType,jobId,gender,treasureId,secretChipId,,,,,,,,townExpEnemy,townExpCloud,dungeonId,comment
0,0,1,0,1,4,0,0,0,0,-1,0,258,-1,6,0,0,0,0,0,0,1,9,0,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
1,0,1,0,1,4,0,0,0,0,-1,0,259,-1,6,0,0,0,0,0,0,1,9,1,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
2,0,1,0,1,4,0,0,0,0,-1,0,-1,-1,6,0,0,0,0,0,0,1,9,2,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
3,0,1,0,1,4,0,0,0,0,-1,0,261,-1,6,0,0,0,0,0,0,1,9,3,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
4,0,2,0,2,5,0,0,0,0,-1,0,262,-1,6,0,2,1,0,0,0,1,9,4,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
5,0,2,0,2,5,0,0,0,0,-1,0,263,-1,6,0,2,1,0,0,0,1,9,5,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
6,0,3,0,1,4,0,0,0,0,-1,0,264,-1,6,0,0,0,0,1,0,1,9,6,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
7,0,2,0,2,5,0,0,0,0,-1,0,265,-1,6,0,2,1,0,0,0,1,9,7,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
8,0,2,0,2,5,0,0,0,0,-1,0,266,-1,6,0,2,1,0,0,0,1,9,8,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
9,2,2,0,5,11,0,15,5,2,40,0,267,227,6,0,2,1,0,0,0,2,16,9,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
10,2,2,0,2,8,0,16,5,2,45,1,268,232,6,0,2,1,0,0,0,2,16,10,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
11,2,3,0,1,7,0,45,5,2,15,0,269,-1,6,0,0,0,0,1,0,2,16,11,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
12,2,3,0,10,16,0,13,6,2,70,1,270,226,6,0,0,0,0,1,0,3,24,12,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
13,2,3,0,2,8,0,46,5,2,75,0,271,-1,6,0,0,0,0,1,0,2,16,13,<po=m>Fearsome monsters may be hiding inside.<br>Don't rush in without a plan.
