id,,exp,hatchTimeSeconds
0,0,0,0
1,1,40,600
2,2,60,900
3,3,80,1200
4,4,100,1560
5,5,120,1920
6,6,140,2340
7,7,160,2760
8,8,180,3240
9,9,200,3780
10,10,220,4380
11,11,240,5040
12,12,260,5760
13,13,280,6540
14,14,300,7380
15,15,320,8340
16,16,340,9360
17,17,360,10500
18,18,380,11760
19,19,400,13140
20,20,420,14640
21,21,440,16320
22,22,460,18180
23,23,480,20220
24,24,500,22440
25,25,520,24900
26,26,540,27600
27,27,560,30600
28,28,580,33900
29,29,600,37500
30,30,620,41460
31,31,640,45840
32,32,660,50640
33,33,680,55920
34,34,700,61740
35,35,720,68100
36,36,740,75120
37,37,760,82860
38,38,780,91380
39,39,800,100740
40,40,820,111000
41,41,840,122340
42,42,860,134760
43,43,880,148440
44,44,900,163500
45,45,920,180060
46,46,940,198300
47,47,960,218340
48,48,980,240360
49,49,1000,264600
50,50,1020,264600
51,51,1040,264600
52,52,1060,264600
53,53,1080,264600
54,54,1100,264600
55,55,1120,264600
56,56,1140,264600
57,57,1160,264600
58,58,1180,264600
59,59,1200,264600
60,60,1220,264600
61,61,1240,264600
62,62,1260,264600
63,63,1280,264600
64,64,1300,264600
65,65,1320,264600
66,66,1340,264600
67,67,1360,264600
68,68,1380,264600
69,69,1400,264600
70,70,1420,264600
71,71,1440,264600
72,72,1460,264600
73,73,1480,264600
74,74,1500,264600
75,75,1520,264600
76,76,1540,264600
77,77,1560,264600
78,78,1580,264600
79,79,1600,264600
80,80,1620,264600
81,81,1640,264600
82,82,1660,264600
83,83,1680,264600
84,84,1700,264600
85,85,1720,264600
86,86,1740,264600
87,87,1760,264600
88,88,1780,264600
89,89,1800,264600
90,90,1820,264600
91,91,1840,264600
92,92,1860,264600
93,93,1880,264600
94,94,1900,264600
95,95,1920,264600
96,96,1940,264600
97,97,1960,264600
98,98,1980,264600
99,99,2000,264600
100,100,3765,264600
101,101,3815,264600
102,102,3865,264600
103,103,3916,264600
104,104,3967,264600
105,105,4018,264600
106,106,4069,264600
107,107,4121,264600
108,108,4173,264600
109,109,4225,264600
110,110,4277,264600
111,111,4330,264600
112,112,4383,264600
113,113,4436,264600
114,114,4489,264600
115,115,4543,264600
116,116,4597,264600
117,117,4651,264600
118,118,4705,264600
119,119,4760,264600
120,120,4815,264600
121,121,4870,264600
122,122,4925,264600
123,123,4981,264600
124,124,5037,264600
125,125,5093,264600
126,126,5149,264600
127,127,5206,264600
128,128,5263,264600
129,129,5320,264600
130,130,5377,264600
131,131,5435,264600
132,132,5493,264600
133,133,5551,264600
134,134,5609,264600
135,135,5668,264600
136,136,5727,264600
137,137,5786,264600
138,138,5845,264600
139,139,5905,264600
140,140,5965,264600
141,141,6025,264600
142,142,6085,264600
143,143,6146,264600
144,144,6207,264600
145,145,6268,264600
146,146,6329,264600
147,147,6391,264600
148,148,6453,264600
149,149,6515,264600
150,150,6577,264600
151,151,6640,264600
152,152,6703,264600
153,153,6766,264600
154,154,6829,264600
155,155,6893,264600
156,156,6957,264600
157,157,7021,264600
158,158,7085,264600
159,159,7150,264600
160,160,7215,264600
161,161,7280,264600
162,162,7345,264600
163,163,7411,264600
164,164,7477,264600
165,165,7543,264600
166,166,7609,264600
167,167,7676,264600
168,168,7743,264600
169,169,7810,264600
170,170,7877,264600
171,171,7945,264600
172,172,8013,264600
173,173,8081,264600
174,174,8149,264600
175,175,8218,264600
176,176,8287,264600
177,177,8356,264600
178,178,8425,264600
179,179,8495,264600
180,180,8565,264600
181,181,8635,264600
182,182,8705,264600
183,183,8776,264600
184,184,8847,264600
185,185,8918,264600
186,186,8989,264600
187,187,9061,264600
188,188,9133,264600
189,189,9205,264600
190,190,9277,264600
191,191,9350,264600
192,192,9423,264600
193,193,9496,264600
194,194,9569,264600
195,195,9643,264600
196,196,9717,264600
197,197,9791,264600
198,198,9865,264600
199,199,9940,264600
200,200,15015,264600
201,201,15140,264600
202,202,15266,264600
203,203,15392,264600
204,204,15519,264600
205,205,15646,264600
206,206,15774,264600
207,207,15902,264600
208,208,16031,264600
209,209,16160,264600
210,210,16290,264600
211,211,16420,264600
212,212,16551,264600
213,213,16682,264600
214,214,16814,264600
215,215,16946,264600
216,216,17079,264600
217,217,17212,264600
218,218,17346,264600
219,219,17480,264600
220,220,17615,264600
221,221,17750,264600
222,222,17886,264600
223,223,18022,264600
224,224,18159,264600
225,225,18296,264600
226,226,18434,264600
227,227,18572,264600
228,228,18711,264600
229,229,18850,264600
230,230,18990,264600
231,231,19130,264600
232,232,19271,264600
233,233,19412,264600
234,234,19554,264600
235,235,19696,264600
236,236,19839,264600
237,237,19982,264600
238,238,20126,264600
239,239,20270,264600
240,240,20415,264600
241,241,20560,264600
242,242,20706,264600
243,243,20852,264600
244,244,20999,264600
245,245,21146,264600
246,246,21294,264600
247,247,21442,264600
248,248,21591,264600
249,249,21740,264600
250,250,21890,264600
251,251,22040,264600
252,252,22191,264600
253,253,22342,264600
254,254,22494,264600
255,255,22646,264600
256,256,22799,264600
257,257,22952,264600
258,258,23106,264600
259,259,23260,264600
260,260,23415,264600
261,261,23570,264600
262,262,23726,264600
263,263,23882,264600
264,264,24039,264600
265,265,24196,264600
266,266,24354,264600
267,267,24512,264600
268,268,24671,264600
269,269,24830,264600
270,270,24990,264600
271,271,25150,264600
272,272,25311,264600
273,273,25472,264600
274,274,25634,264600
275,275,25796,264600
276,276,25959,264600
277,277,26122,264600
278,278,26286,264600
279,279,26450,264600
280,280,26615,264600
281,281,26780,264600
282,282,26946,264600
283,283,27112,264600
284,284,27279,264600
285,285,27446,264600
286,286,27614,264600
287,287,27782,264600
288,288,27951,264600
289,289,28120,264600
290,290,28290,264600
291,291,28460,264600
292,292,28631,264600
293,293,28802,264600
294,294,28974,264600
295,295,29146,264600
296,296,29319,264600
297,297,29492,264600
298,298,29666,264600
299,299,29840,264600
300,300,30015,264600
301,301,30190,264600
302,302,30366,264600
303,303,30542,264600
304,304,30719,264600
305,305,30896,264600
306,306,31074,264600
307,307,31252,264600
308,308,31431,264600
309,309,31610,264600
310,310,31790,264600
311,311,31970,264600
312,312,32151,264600
313,313,32332,264600
314,314,32514,264600
315,315,32696,264600
316,316,32879,264600
317,317,33062,264600
318,318,33246,264600
319,319,33430,264600
320,320,33615,264600
321,321,33800,264600
322,322,33986,264600
323,323,34172,264600
324,324,34359,264600
325,325,34546,264600
326,326,34734,264600
327,327,34922,264600
328,328,35111,264600
329,329,35300,264600
330,330,35490,264600
331,331,35680,264600
332,332,35871,264600
333,333,36062,264600
334,334,36254,264600
335,335,36446,264600
336,336,36639,264600
337,337,36832,264600
338,338,37026,264600
339,339,37220,264600
340,340,37415,264600
341,341,37610,264600
342,342,37806,264600
343,343,38002,264600
344,344,38199,264600
345,345,38396,264600
346,346,38594,264600
347,347,38792,264600
348,348,38991,264600
349,349,39190,264600
350,350,39390,264600
351,351,39590,264600
352,352,39791,264600
353,353,39992,264600
354,354,40194,264600
355,355,40396,264600
356,356,40599,264600
357,357,40802,264600
358,358,41006,264600
359,359,41210,264600
360,360,41415,264600
361,361,41620,264600
362,362,41826,264600
363,363,42032,264600
364,364,42239,264600
365,365,42446,264600
366,366,42654,264600
367,367,42862,264600
368,368,43071,264600
369,369,43280,264600
370,370,43490,264600
371,371,43700,264600
372,372,43911,264600
373,373,44122,264600
374,374,44334,264600
375,375,44546,264600
376,376,44759,264600
377,377,44972,264600
378,378,45186,264600
379,379,45400,264600
380,380,45615,264600
381,381,45830,264600
382,382,46046,264600
383,383,46262,264600
384,384,46479,264600
385,385,46696,264600
386,386,46914,264600
387,387,47132,264600
388,388,47351,264600
389,389,47570,264600
390,390,47790,264600
391,391,48010,264600
392,392,48231,264600
393,393,48452,264600
394,394,48674,264600
395,395,48896,264600
396,396,49119,264600
397,397,49342,264600
398,398,49566,264600
399,399,49790,264600
400,400,50015,264600
401,401,50240,264600
402,402,50466,264600
403,403,50692,264600
404,404,50919,264600
405,405,51146,264600
406,406,51374,264600
407,407,51602,264600
408,408,51831,264600
409,409,52060,264600
410,410,52290,264600
411,411,52520,264600
412,412,52751,264600
413,413,52982,264600
414,414,53214,264600
415,415,53446,264600
416,416,53679,264600
417,417,53912,264600
418,418,54146,264600
419,419,54380,264600
420,420,54615,264600
421,421,54850,264600
422,422,55086,264600
423,423,55322,264600
424,424,55559,264600
425,425,55796,264600
426,426,56034,264600
427,427,56272,264600
428,428,56511,264600
429,429,56750,264600
430,430,56990,264600
431,431,57230,264600
432,432,57471,264600
433,433,57712,264600
434,434,57954,264600
435,435,58196,264600
436,436,58439,264600
437,437,58682,264600
438,438,58926,264600
439,439,59170,264600
440,440,59415,264600
441,441,59660,264600
442,442,59906,264600
443,443,60152,264600
444,444,60399,264600
445,445,60646,264600
446,446,60894,264600
447,447,61142,264600
448,448,61391,264600
449,449,61640,264600
450,450,61890,264600
451,451,62140,264600
452,452,62391,264600
453,453,62642,264600
454,454,62894,264600
455,455,63146,264600
456,456,63399,264600
457,457,63652,264600
458,458,63906,264600
459,459,64160,264600
460,460,64415,264600
461,461,64670,264600
462,462,64926,264600
463,463,65182,264600
464,464,65439,264600
465,465,65696,264600
466,466,65954,264600
467,467,66212,264600
468,468,66471,264600
469,469,66730,264600
470,470,66990,264600
471,471,67250,264600
472,472,67511,264600
473,473,67772,264600
474,474,68034,264600
475,475,68296,264600
476,476,68559,264600
477,477,68822,264600
478,478,69086,264600
479,479,69350,264600
480,480,69615,264600
481,481,69880,264600
482,482,70146,264600
483,483,70412,264600
484,484,70679,264600
485,485,70946,264600
486,486,71214,264600
487,487,71482,264600
488,488,71751,264600
489,489,72020,264600
490,490,72290,264600
491,491,72560,264600
492,492,72831,264600
493,493,73102,264600
494,494,73374,264600
495,495,73646,264600
496,496,73919,264600
497,497,74192,264600
498,498,74466,264600
499,499,74740,264600
500,500,75015,264600
501,501,75290,264600
502,502,75566,264600
503,503,75842,264600
504,504,76119,264600
505,505,76396,264600
506,506,76674,264600
507,507,76952,264600
508,508,77231,264600
509,509,77510,264600
510,510,77790,264600
511,511,78070,264600
512,512,78351,264600
513,513,78632,264600
514,514,78914,264600
515,515,79196,264600
516,516,79479,264600
517,517,79762,264600
518,518,80046,264600
