,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bonusParameters [][]   ( initital, increment for each stat)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"minCosts [] (size, grass?, wood ?, food?, ore?, mystic?)",,,,,,,"maxCosts [] (size, grass?, wood ?, food?, ore?, mystic?)",,,,,,,prices [],,,,,,chips [],,,,,,,,,,,,,,,,recoveryRates (%),,,,,,HP,,,MP,,,Vigor,,,Atk,,,Def,,,Spd,,,Luck,,,Owned,,,Int,,,Dex,,,Gather,,,Move,,,Heart,,,,,,,,,,,,,,,minLvupCosts [],,,,,,,maxLvupCosts [],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,type,exp,,,,,,,,,,,,,,,,,,dataId,combinatoin,parentChipId,,,,,wall,constructionTime,minHp,maxHp,initNum,validRange,usePriority,motion,offsetX,offsetY,offsetZ,recoveryIntervalFrame,,HP,MP,Vigor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aroundEffectCategory1,aroundEffectType1,aroundEffectMinValue1,aroundEffectMaxValue1,aroundEffectCategory2,aroundEffectType2,aroundEffectMinValue2,aroundEffectMaxValue2,aroundEffectCategory3,aroundEffectType3,aroundEffectMinValue3,aroundEffectMaxValue3,levelupItemGroupId,,,,,,,,,,,,,,,minLvupTimeSeconds,maxLvupTimeSeconds,minProductCapacity,maxProductCapacity,minProductTimeSeconds,maxProductTimeSeconds,workCostType,minWorkCost,maxWorkCost,minWorkEffect,maxWorkEffect,minWorkTimeSeconds,maxWorkTimeSeconds,capacity,maxQueue,minUseCountLimit,maxUseCountLimit,useCountLimitUnlockItemId,useCountLimitUnlockItemNum,craftTermStudioLevel,craftTermIntelligence,craftTimeSeconds,attackPriority,maxUseCountOneDay,craftGroup,explain,hintEvent,evolutionChipId,vehicleId,flag,flag
0,Thick Fog,24,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,-1,0,100,1000,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,未使用,-1,-1,-1,36700320,"no lvlup, no facility component, no valuable effect, no around effect, special facility"
1,Scheduled Construction Site,64,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,-1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,未使用,-1,-1,-1,3145888,"no lvlup, no facility component, no valuable effect, no around effect"
2,Land Boundary,15,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,-1,120,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,未使用,-1,-1,-1,3145760,"no lvlup, no valuable effect, no around effect"
3,Gravel Path,19,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,-1,240,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,Boosts movement speed.,-1,-1,-1,36700192,"no lvlup, no valuable effect, no around effect, special facility"
4,Road,19,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,-1,480,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,Boosts movement speed.,-1,-1,-1,36700192,"no lvlup, no valuable effect, no around effect, special facility"
5,Bridge,6,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,23,2400,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,Builds bridges.,-1,-1,-1,36700192,"no lvlup, no valuable effect, no around effect, special facility"
6,Bridge,6,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,0,-1,0,,,,23,2400,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,-1,6,0,0,0,0,0,0,6,0,0,0,0,0,0,120,129600,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,-1,Builds bridges.,-1,-1,-1,36700192,"no lvlup, no valuable effect, no around effect, special facility"
7,Port,33,10,6,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,-1,2,67,3,70,68,69,-1,1200,0,0,0,0,0,0,0,0,0,1,3,0,0,0,13,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,0,2,6,0,5,10,5,2,1,6,0,15,50,100,150,300,120,129600,0,0,0,0,3,8,20,0,0,120,1200,1,0,0,0,-1,0,0,0,0,0,1,-1,Guides visitors to town.,-1,-1,-1,36700240,"init lock, belong, no valuable effect, no around effect, special facility"
