id,,res,img,imgU,imgV,maxEarnableRewardCount,rewardType,rewardTreasureId,minCost,maxCost,minHearts,maxHearts,minSuccessRate,maxSuccessRate,jobGroupId,minAdditionTimeSeconds,maxAdditionTimeSeconds,coolDownTimeSeconds,terrain,minAreaLevel,costToEarnRewardUsingDia,nameText,nameArg,flag
0,未使用,5,136,0,3,3,0,755,0,12,72,822,15,75,1,2700,60,28800,2,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=grass>,1
1,未使用,5,136,0,3,3,0,756,0,12,72,822,15,75,2,2700,60,28800,4,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=wood>,1
2,未使用,5,136,0,3,3,0,757,0,12,90,840,15,75,3,2700,60,28800,15,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=food>,1
3,未使用,5,136,0,3,3,0,758,0,12,78,828,15,75,4,2700,60,28800,3,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=iron>,1
4,未使用,5,136,0,3,3,0,759,0,12,81,831,15,75,12,2700,60,28800,7,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=magic>,1
5,未使用,5,136,0,3,3,0,760,0,12,79,829,15,75,-1,2700,60,28800,6,45,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=stamina>,1
6,Not used,5,136,1,3,3,0,761,0,12,74,824,15,75,1,2700,60,28800,5,45,50,Survey: High Grade Storehouse (Treasure) Blueprints,未使用,1
7,Not used,5,136,1,3,3,0,762,0,12,81,831,15,75,3,2700,60,28800,1,45,50,Survey: High Grade Storehouse (Items) Blueprints,未使用,1
8,Not used,5,136,1,3,3,0,763,0,12,74,824,15,75,12,2700,60,28800,2,45,50,Survey: High Grade Storehouse (Eggs) Blueprints,未使用,1
9,Not used,5,136,1,3,5,0,764,0,20,83,833,20,90,3,2700,60,28800,3,45,25,Survey: Bridge Blueprints,未使用,1
10,Not used,5,136,6,2,2,0,765,0,8,87,837,10,75,-1,3600,60,28800,5,45,50,Survey: Chaos Stone,未使用,1
11,未使用,5,136,0,3,4,0,755,2,48,257,1007,15,75,1,2700,10800,28800,5,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=grass>,1
12,未使用,5,136,0,3,4,0,756,2,48,282,1032,15,75,2,2700,10800,28800,2,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=wood>,1
13,未使用,5,136,0,3,4,0,757,2,48,260,1010,15,75,3,2700,10800,28800,4,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=food>,1
14,未使用,5,136,0,3,4,0,758,2,48,270,1020,15,75,4,2700,10800,28800,15,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=iron>,1
15,未使用,5,136,0,3,4,0,759,2,48,262,1012,15,75,12,2700,10800,28800,3,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=magic>,1
16,未使用,5,136,0,3,4,0,760,2,48,247,997,15,75,-1,2700,10800,28800,7,60,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=stamina>,1
17,Not used,5,136,1,3,4,0,761,2,48,287,1037,15,75,1,2700,10800,28800,6,60,50,Survey: High Grade Storehouse (Treasure) Blueprints,未使用,1
18,Not used,5,136,1,3,4,0,762,2,48,272,1022,15,75,3,2700,10800,28800,5,60,50,Survey: High Grade Storehouse (Items) Blueprints,未使用,1
19,Not used,5,136,1,3,4,0,763,2,48,247,997,15,75,12,2700,10800,28800,1,60,50,Survey: High Grade Storehouse (Eggs) Blueprints,未使用,1
20,Not used,5,136,1,3,8,0,764,2,96,255,1005,20,90,3,2700,10800,28800,2,60,25,Survey: Bridge Blueprints,未使用,1
21,Not used,5,136,6,2,2,0,765,2,24,257,1007,10,75,-1,3600,14400,28800,3,60,50,Survey: Chaos Stone,未使用,1
22,未使用,5,136,0,3,5,0,755,3,80,580,1330,15,75,1,2700,10800,28800,3,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=grass>,1
23,未使用,5,136,0,3,5,0,756,3,80,530,1280,15,75,2,2700,10800,28800,5,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=wood>,1
24,未使用,5,136,0,3,5,0,757,3,80,480,1230,15,75,3,2700,10800,28800,2,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=food>,1
25,未使用,5,136,0,3,5,0,758,3,80,590,1340,15,75,4,2700,10800,28800,4,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=iron>,1
26,未使用,5,136,0,3,5,0,759,3,80,580,1330,15,75,12,2700,10800,28800,15,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=magic>,1
27,未使用,5,136,0,3,5,0,760,3,80,480,1230,15,75,-1,2700,10800,28800,3,90,50,Survey: High Grade Storehouse (<0>) Blueprints,<pic=stamina>,1
28,Not used,5,136,1,3,5,0,761,3,80,555,1305,15,75,1,2700,10800,28800,7,90,50,Survey: High Grade Storehouse (Treasure) Blueprints,未使用,1
29,Not used,5,136,1,3,5,0,762,3,80,480,1230,15,75,3,2700,10800,28800,6,90,50,Survey: High Grade Storehouse (Items) Blueprints,未使用,1
30,Not used,5,136,1,3,5,0,763,3,80,550,1300,15,75,12,2700,10800,28800,5,90,50,Survey: High Grade Storehouse (Eggs) Blueprints,未使用,1
31,Not used,5,136,1,3,10,0,764,3,160,545,1295,20,90,3,2700,10800,28800,1,90,25,Survey: Bridge Blueprints,未使用,1
32,Not used,5,136,6,2,2,0,765,3,32,515,1265,10,75,-1,3600,14400,28800,2,90,50,Survey: Chaos Stone,未使用,1
33,未使用,5,136,1,1,-1,0,766,-1,-1,55,660,40,95,2,1500,10800,21600,-1,1,3,Survey: Materials (<0>),<pic=grass>,1
34,未使用,5,136,1,1,-1,0,767,-1,-1,65,780,40,95,3,1500,10800,21600,2,1,3,Survey: Materials (<0>),<pic=wood>,1
35,未使用,5,136,1,1,-1,0,768,-1,-1,75,900,40,95,4,1500,10800,21600,7,1,3,Survey: Materials (<0>),<pic=food>,1
36,未使用,5,136,1,1,-1,0,769,-1,-1,85,1020,40,95,3,1500,10800,21600,3,1,3,Survey: Materials (<0>),<pic=iron>,1
37,未使用,5,136,1,1,-1,0,770,-1,-1,95,1140,40,95,1,1500,10800,21600,4,1,3,Survey: Materials (<0>),<pic=magic>,1
38,未使用,5,136,1,1,-1,0,771,-1,-1,115,1380,40,95,2,3000,10800,21600,5,100,3,Survey: Materials XL (<0>),<pic=grass>,1
39,未使用,5,136,1,1,-1,0,771,-1,-1,135,1620,40,95,3,3000,10800,21600,6,100,3,Survey: Materials XL (<0>),<pic=grass>,1
40,未使用,5,136,1,1,-1,0,771,-1,-1,155,1860,40,95,4,3000,10800,21600,7,100,3,Survey: Materials XL (<0>),<pic=grass>,1
41,未使用,5,136,1,1,-1,0,771,-1,-1,175,2100,40,95,3,3000,10800,21600,1,100,3,Survey: Materials XL (<0>),<pic=grass>,1
42,未使用,5,136,1,1,-1,0,771,-1,-1,200,2400,40,95,1,3000,10800,21600,4,100,3,Survey: Materials XL (<0>),<pic=grass>,1
43,未使用,5,136,1,1,-1,0,776,-1,-1,89,1068,25,95,2,2100,10800,14400,2,1,3,Survey: Fruit (<0>),Easy,1
44,未使用,5,136,1,1,-1,0,777,-1,-1,140,1680,25,95,2,2100,10800,14400,4,40,3,Survey: Fruit (<0>),Medium,1
45,未使用,5,136,1,1,-1,0,778,-1,-1,215,2580,25,95,2,2100,10800,14400,1,75,3,Survey: Fruit (<0>),Hard,1
46,未使用,5,136,1,1,-1,0,779,-1,-1,373,4476,25,95,2,2100,10800,14400,15,120,3,Survey: Fruit (<0>),Extreme,1
47,未使用,5,136,1,1,-1,0,780,-1,-1,64,768,25,95,4,2700,10800,14400,15,1,3,Survey: Medicine (<0>),Easy,1
